Collected,Location,Type,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
2020-07-22 13:52:42.276127,Wellington,high,14,11,14,12,12,13,13,13,14,14,14,14,13,13,13,14,13,14,13,14,11,11,12,12,12,12,12,12,12,12,12,12,14,12,14,14,15,15,15,14,13,14
2020-07-22 13:52:42.276127,Wellington,low,11,7,7,6,7,8,8,8,10,9,9,8,8,8,8,8,9,9,8,7,6,6,7,8,8,7,8,7,8,8,8,8,7,7,9,9,9,9,7,7,8,7
2020-07-22 13:52:42.276127,Wellington,precipitation,,12,1,1,1,1,1,3,6,4,7,12,18,12,12,3,32,13,18,6,2,1,1,2,2,1,2,2,6,7,2,2,6,3,12,18,32,6,3,6,4,12
2020-07-22 13:52:53.784032,Auckland,high,16,14,16,14,14,14,14,14,16,16,16,16,15,16,16,15,15,15,16,15,14,13,14,14,14,14,15,14,14,15,15,14,14,15,15,16,17,16,16,16,15,16
2020-07-22 13:52:53.784032,Auckland,low,10,10,10,8,7,7,9,12,10,10,10,11,11,11,10,10,11,11,10,10,10,9,10,8,10,10,10,9,9,10,10,10,10,10,11,11,10,11,9,10,11,10
2020-07-22 13:52:53.784032,Auckland,precipitation,,13,4,14,4,3,14,4,12,13,7,18,12,3,3,3,4,4,12,3,4,6,3,3,2,2,1,1,2,7,6,6,6,6,12,12,6,15,15,32,3,12
2020-07-22 13:53:10.735065,Sydney,high,18,19,18,18,18,15,16,16,19,18,18,18,18,18,18,19,20,19,16,16,16,17,17,17,20,17,17,17,16,17,18,18,18,18,18,19,22,20,20,18,20,18
2020-07-22 13:53:10.735065,Sydney,low,9,7,9,9,12,12,10,10,11,11,11,10,10,10,10,11,11,10,10,9,10,10,10,11,11,11,10,9,8,8,12,12,11,12,10,13,12,8,9,10,10,10
2020-07-22 13:53:10.735065,Sydney,precipitation,,4,2,3,12,12,12,12,2,2,6,3,6,12,12,1,1,1,1,2,3,4,6,2,15,3,2,6,4,1,4,18,18,18,4,2,2,2,1,2,12,6
2020-07-22 13:53:20.987068,Port Moresby,high,29,30,30,30,30,30,30,29,29,29,29,29,30,30,30,29,29,29,30,29,30,30,30,30,29,30,29,29,30,30,32,32,32,31,31,31,31,32,32,32,32,31
2020-07-22 13:53:20.987068,Port Moresby,low,24,23,24,24,24,24,24,24,23,23,23,23,23,24,24,21,21,21,21,21,21,21,22,21,21,22,21,21,22,22,23,24,24,23,23,23,23,23,23,24,24,24
2020-07-22 13:53:20.987068,Port Moresby,precipitation,,4,3,4,4,6,12,6,4,6,6,3,12,4,12,6,4,4,3,6,4,3,1,3,6,6,4,2,4,6,6,13,7,12,12,12,4,4,4,6,4,12
2020-07-22 13:53:32.517433,Melbourne,high,14,12,12,14,15,15,14,15,16,14,15,15,15,15,15,16,14,13,13,13,13,14,14,14,15,14,14,13,14,14,16,18,18,15,15,18,15,15,16,15,16,16
2020-07-22 13:53:32.517433,Melbourne,low,7,7,5,6,6,9,7,8,8,7,8,7,8,7,8,9,6,6,8,7,6,6,7,10,9,9,7,7,7,7,9,10,10,8,10,10,9,7,7,8,7,7
2020-07-22 13:53:32.517433,Melbourne,precipitation,,12,8,6,2,3,14,4,3,4,1,6,7,4,1,3,12,6,12,4,4,7,6,12,7,12,4,3,6,3,4,12,12,8,4,12,12,12,4,12,7,6
2020-07-22 13:53:45.257927,Tokyo,high,29,29,25,28,30,31,31,28,28,27,26,27,27,28,27,32,32,31,32,32,32,32,32,32,32,32,32,31,32,32,31,30,30,30,30,31,29,30,31,29,29,29
2020-07-22 13:53:45.257927,Tokyo,low,22,23,22,24,25,25,24,22,21,21,22,22,23,23,23,24,25,25,25,25,26,25,26,26,25,26,26,25,25,25,23,23,24,24,23,23,23,24,24,22,21,21
2020-07-22 13:53:45.257927,Tokyo,precipitation,,17,17,7,6,4,4,12,6,3,14,12,6,4,7,3,4,3,6,6,6,3,6,4,7,6,4,7,7,4,12,18,14,14,4,4,4,3,14,12,15,12
2020-07-22 13:53:59.982550,Seoul,high,30,28,23,25,29,29,28,25,28,29,29,28,29,29,29,30,31,31,30,31,31,31,31,31,31,31,30,31,31,31,29,29,29,28,29,29,28,28,28,28,28,28
2020-07-22 13:53:59.982550,Seoul,low,21,22,20,22,22,22,22,23,23,23,23,23,23,23,23,24,24,25,24,25,25,24,25,25,25,24,25,24,24,24,21,21,20,20,20,21,20,20,20,19,18,19
2020-07-22 13:53:59.982550,Seoul,precipitation,,12,18,6,13,12,15,7,3,7,7,15,12,4,15,6,4,6,6,6,4,3,2,4,6,4,2,4,6,6,12,4,2,1,3,4,4,4,2,1,1,2
2020-07-22 13:54:11.646753,Pyongyang,high,27,31,29,27,29,29,27,28,31,33,30,28,28,29,28,29,30,30,29,30,30,30,30,30,30,30,30,30,30,30,27,28,28,28,28,28,27,27,28,27,27,27
2020-07-22 13:54:11.646753,Pyongyang,low,21,22,21,21,20,20,21,22,23,24,25,22,21,22,22,23,23,23,23,22,23,23,23,23,23,23,23,23,23,22,19,19,18,18,18,19,17,17,18,17,16,16
2020-07-22 13:54:11.646753,Pyongyang,precipitation,,4,18,12,3,4,12,6,3,4,7,15,3,4,7,6,4,7,6,7,6,6,3,6,17,15,4,4,4,7,18,4,2,1,3,12,2,2,2,2,1,3
2020-07-22 13:54:20.404350,Osaka-shi,high,34,32,29,29,28,30,31,32,29,29,28,29,29,30,29,33,33,32,32,33,33,33,34,33,33,34,34,33,34,33,34,33,33,32,32,31,33,33,33,31,31,31
2020-07-22 13:54:20.404350,Osaka-shi,low,27,22,24,24,24,25,25,25,22,22,22,25,26,25,25,25,25,26,25,26,26,27,26,26,27,27,26,26,26,26,26,26,24,23,23,23,23,25,23,22,22,22
2020-07-22 13:54:20.404350,Osaka-shi,precipitation,,12,17,7,7,4,6,3,4,6,4,3,6,4,7,4,4,3,3,6,4,2,6,6,6,6,6,6,4,4,3,4,14,4,2,2,2,3,12,18,4,2
2020-07-22 13:54:32.950923,Dili,high,28,31,31,30,31,31,31,30,35,35,34,35,35,34,35,32,32,33,32,32,32,32,32,33,32,32,33,32,32,33,34,35,35,35,35,34,34,35,35,34,35,34
2020-07-22 13:54:32.950923,Dili,low,24,21,20,20,21,21,21,21,18,19,20,19,19,19,18,21,20,20,20,20,20,20,20,20,20,20,20,20,19,20,20,21,21,20,20,20,20,21,21,20,21,21
2020-07-22 13:54:32.950923,Dili,precipitation,,4,4,3,1,2,2,3,4,1,3,6,2,2,3,4,2,2,1,3,4,4,6,6,3,4,1,2,4,4,1,1,1,1,1,1,1,2,1,1,2,2
2020-07-22 13:54:47.641200,Busan,high,31,27,22,27,26,27,25,29,28,28,28,28,29,29,28,30,30,30,31,31,30,31,31,31,31,31,31,32,31,31,31,30,29,29,28,29,28,28,29,28,28,28
2020-07-22 13:54:47.641200,Busan,low,23,22,22,22,21,22,22,23,23,23,22,23,24,24,23,25,26,26,25,26,26,26,26,26,26,26,26,26,26,26,24,22,22,23,22,22,23,22,22,22,21,21
2020-07-22 13:54:47.641200,Busan,precipitation,,18,18,18,13,3,12,12,7,6,7,7,15,7,17,6,3,2,6,2,3,3,3,4,6,4,3,2,7,6,13,14,2,2,2,1,4,4,7,2,2,2
2020-07-22 13:54:57.698795,Ulan Bator,high,30,34,29,28,18,23,22,23,24,24,26,27,23,23,22,23,25,25,26,26,26,26,26,26,25,22,21,19,19,19,19,22,25,20,18,18,19,18,18,21,24,24
2020-07-22 13:54:57.698795,Ulan Bator,low,12,17,15,15,13,10,11,12,12,11,12,10,9,8,7,11,12,13,14,14,14,14,14,13,12,11,10,12,12,11,9,9,4,4,4,4,5,4,8,10,10,8
2020-07-22 13:54:57.698795,Ulan Bator,precipitation,,6,15,5,7,13,6,2,3,7,17,3,4,17,15,1,2,2,4,2,1,1,2,4,2,12,13,12,12,12,2,1,3,12,4,3,2,1,1,4,4,3
2020-07-22 13:55:10.112726,Taipei City,high,36,35,37,38,36,34,36,36,36,37,37,36,36,35,36,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,33,34,34,33,33,32,32,33,33,32,31,31
2020-07-22 13:55:10.112726,Taipei City,low,26,27,28,29,28,27,28,28,28,28,28,29,28,28,29,28,27,27,28,27,27,28,28,27,26,27,27,27,26,27,27,28,27,27,26,27,26,26,26,26,25,25
2020-07-22 13:55:10.112726,Taipei City,precipitation,,3,15,6,15,6,6,3,1,2,1,4,3,4,6,7,7,7,7,3,3,4,15,15,15,15,15,15,7,7,3,2,14,13,13,12,13,13,12,12,32,32
2020-07-22 13:55:25.250421,Singapore,high,32,30,31,31,30,30,31,31,30,30,30,31,31,32,29,30,29,29,29,29,29,29,29,30,29,29,30,29,29,30,30,30,31,30,31,31,30,31,30,31,31,31
2020-07-22 13:55:25.250421,Singapore,low,28,27,27,26,26,27,26,26,26,26,27,26,26,27,26,26,27,27,27,27,27,27,27,27,27,27,27,27,26,27,26,25,25,24,25,25,26,26,25,25,26,25
2020-07-22 13:55:25.250421,Singapore,precipitation,,17,15,15,6,7,12,14,12,12,12,15,4,14,15,7,17,15,15,15,12,15,7,7,15,3,15,15,17,15,6,15,6,17,4,17,14,14,3,15,4,4
2020-07-22 13:55:39.030003,Shanghai,high,32,36,35,29,30,31,31,32,32,31,32,32,32,32,32,32,32,31,31,32,32,31,30,32,32,31,32,32,31,31,32,32,29,29,30,29,30,30,28,28,29,28
2020-07-22 13:55:39.030003,Shanghai,low,24,27,25,24,22,25,25,25,25,25,25,25,26,26,25,26,27,27,26,26,26,26,26,26,26,26,26,26,26,26,23,22,23,24,23,22,23,22,22,22,22,22
2020-07-22 13:55:39.030003,Shanghai,precipitation,,12,13,12,3,7,12,13,7,6,7,3,3,3,6,3,2,6,2,2,6,15,3,3,7,7,7,7,7,6,14,4,3,3,4,2,2,14,12,3,1,1
2020-07-22 13:55:47.781630,Perth,high,21,24,18,20,21,22,24,17,18,19,20,19,18,18,19,16,16,16,17,16,17,16,16,17,17,16,17,18,16,16,17,17,19,20,17,17,18,18,18,18,20,21
2020-07-22 13:55:47.781630,Perth,low,9,15,8,11,14,14,14,8,8,9,9,10,9,9,9,10,10,10,10,10,11,10,10,10,11,10,10,9,8,9,8,8,11,11,10,9,7,7,8,8,9,11
2020-07-22 13:55:47.781630,Perth,precipitation,,1,3,1,6,2,2,4,2,2,3,12,12,4,2,3,4,4,6,1,12,4,4,3,7,1,6,3,6,4,4,2,2,18,12,12,12,2,1,2,1,1
2020-07-22 13:55:58.407663,Manila,high,33,32,35,34,33,34,34,34,34,33,33,34,33,34,33,31,31,32,31,32,30,30,31,31,31,32,32,32,32,31,32,33,31,32,33,31,32,32,31,31,32,31
2020-07-22 13:55:58.407663,Manila,low,25,27,26,27,26,27,26,26,27,27,27,26,26,26,26,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,24,24,24,24,24,25,25,24,24,24
2020-07-22 13:55:58.407663,Manila,precipitation,,15,16,6,4,6,4,15,15,7,15,15,12,15,15,12,12,12,15,12,15,15,12,4,7,12,12,7,12,7,14,13,14,14,14,14,14,14,12,14,12,14
2020-07-22 13:56:08.703936,Kuala Lumpur,high,34,31,32,32,30,31,31,32,30,31,31,30,31,32,31,30,30,30,31,30,30,31,30,30,31,29,30,30,30,30,31,31,32,31,31,32,32,32,32,32,32,31
2020-07-22 13:56:08.703936,Kuala Lumpur,low,24,24,24,25,23,23,24,24,24,24,25,24,24,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,23,22,23,23,22,22,23,23,22,23,23,22,23
2020-07-22 13:56:08.703936,Kuala Lumpur,precipitation,,15,15,15,6,15,12,12,15,6,18,12,12,12,14,12,12,7,7,12,15,7,4,6,12,15,7,7,7,15,15,12,15,15,4,4,4,14,17,4,17,4
